Epoch,Train_wSDR_Loss,Val_wSDR_Loss
1,-3.666292926468519,-5.408232353102993
2,-5.853948748244605,-6.40537555362587
3,-6.700371403258914,-7.149199699684401
4,-7.171898697794304,-7.454645652795609
5,-7.493904145140949,-7.552631981551546
6,-7.7495214660493685,-7.944446710354127
7,-7.952186049780178,-7.89936177720042
8,-8.108368664290136,-8.229283640602404
9,-8.264445657120323,-8.26453356559297
10,-8.400566396341254,-8.32899035081278
11,-8.473589933010238,-8.482224208013205
12,-8.599535571568907,-8.368750208361012
13,-8.658204402427572,-8.548777014911808
14,-8.74131992914143,-8.575684848437207
15,-8.801841501781334,-8.622349563243867
16,-8.83486228530116,-8.543867707728145
17,-8.886943180466318,-8.612112621652516
18,-8.909852892957504,-8.533029219271764
19,-8.958726528164817,-8.672232552771032
20,-8.984024598022371,-8.695416415695702
21,-9.028084819279877,-8.687779606683517
22,-9.03662785854766,-8.768649845500114
23,-9.10662934675833,-8.846945848696441
24,-9.115539804051382,-8.702368479832785
25,-9.125199272804013,-8.909382281593247
26,-9.126328447186427,-8.826198025924397
27,-9.160201369447451,-8.800850900565624
28,-9.186216640627872,-8.926764876491871
29,-9.182588285475727,-8.918373489466978
30,-9.224848734362725,-8.994097513624515
